-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
2.81,-25.3,-5.54,0.374,-0.144,4.8,14.3,16.6,23.7,3.57,-11.2,-2.23,-4.63,0
0.665,-38.0,-5.38,-6.24,-16.9,-8.64,8.35,-3.79,-11.8,10.7,-5.26,1.03,-1.2,0
2.54,-34.9,-16.8,-6.0,18.2,0.364,1.78,8.98,-3.85,4.49,-9.26,-13.0,5.4,0
3.25,-36.7,-5.64,8.34,1.46,15.1,-2.54,-13.7,9.84,5.83,4.77,8.45,7.39,0
4.0,-39.9,-25.2,-9.08,-13.8,10.2,-14.6,-6.04,13.0,-6.09,-12.8,-6.23,-4.05,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
0.663,-46.8,-8.26,-10.6,-2.04,-2.66,3.86,6.79,11.2,11.7,7.91,-4.07,-13.0,0
4.17,-34.6,-21.5,3.3,2.15,18.5,5.28,4.44,0.0453,-18.1,3.24,-7.09,-1.93,0
2.9,-29.4,-6.44,4.85,-4.26,-8.81,-0.912,2.9,-16.1,-10.2,-1.8,-17.7,11.5,0
0.389,-13.3,-5.02,-23.9,2.36,9.13,-13.6,0.00938,5.85,0.315,-6.48,4.78,0.0992,0
0.665,-45.2,-19.1,-18.9,-8.71,1.89,-5.19,-9.13,6.88,2.1,-10.4,6.59,0.00292,0
2.42,-30.4,-2.65,-1.22,5.36,12.1,2.19,-3.09,-8.06,-9.18,-3.23,3.34,-13.0,0
1.92,-45.3,-10.6,-20.2,-42.1,-7.87,-1.12,-10.9,-0.846,-22.1,7.08,5.01,-17.7,0
1.93,-39.7,-10.4,-0.867,-4.0,-20.7,-18.4,10.3,7.97,-2.04,1.32,2.96,3.11,0
3.61,-25.8,-8.59,-11.4,-20.5,-2.08,-12.0,1.51,-6.48,-17.5,1.42,2.05,-4.67,0
2.22,-30.6,-3.01,3.25,-2.52,5.74,-2.67,6.27,0.53,2.87,11.2,0.103,-8.9,0
3.54,-35.0,-11.8,10.4,-7.32,2.31,6.29,-11.7,-0.488,-8.23,10.3,11.0,-3.7,0
3.61,-23.2,-21.8,-7.48,7.53,-4.77,2.17,-17.8,-9.32,8.29,1.48,-2.25,-3.12,0
2.37,-39.0,-10.0,1.44,-5.64,-6.43,1.06,-18.5,-13.8,-5.26,-1.7,7.44,-13.3,0
2.46,-30.4,-4.61,8.67,11.3,3.12,-10.8,-11.0,-0.722,8.87,7.75,0.804,-1.33,0
2.92,-24.1,-8.16,-2.38,-15.5,-5.53,12.9,1.58,0.517,0.876,12.1,9.35,-4.78,0
1.07,-44.1,-12.9,-12.4,-9.86,-7.97,-4.2,-3.0,-3.55,2.67,11.8,11.5,1.75,0
3.42,-35.9,-2.28,14.8,-9.79,5.05,0.0386,-21.3,-6.43,15.1,9.01,-7.79,-4.88,0
2.17,-35.4,-13.7,-3.34,0.186,-8.41,-1.85,-3.29,-16.8,0.463,-4.57,-9.95,1.01,0
4.15,-34.9,-14.7,-12.3,-20.0,4.93,-6.45,20.6,6.99,6.22,12.4,4.73,2.22,0
3.23,-32.4,-14.5,-6.13,-1.61,-1.04,-9.37,-4.28,-9.16,3.29,7.73,-3.14,-7.85,0
0.666,-36.9,-18.4,-5.73,-10.9,-7.99,-8.92,-9.81,-7.79,-11.9,-7.99,-8.75,0.381,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
1.23,-23.5,11.6,0.179,-5.97,-1.4,-5.56,9.15,5.23,-16.4,4.97,-3.56,8.99,0
1.92,-42.7,-3.58,1.42,-11.7,-2.86,16.6,15.3,-18.4,-21.0,2.42,1.91,-2.04,0
3.01,-31.8,-12.6,2.94,-1.21,-0.818,15.1,-6.6,7.62,2.97,-4.42,0.61,-10.2,0
